seed,run_id,mobility,status,rejection_reason,rejected_at_s,probe_captured,avg_neighbor_count,std_neighbor_count,min_neighbor_count,max_neighbor_count,avg_two_hop_count,std_two_hop_count,avg_routing_table_size,std_routing_table_size,fully_converged_nodes,node1_is_neighbor_of_node0,avg_min_euclidean_dist
1612,1612,0,accepted,none,0.000000,1,5.400000,1.822087,2.000000,9.000000,7.000000,3.268027,49.000000,0.000000,50,0,67.330862
1617,1617,0,accepted,none,0.000000,1,5.800000,1.624808,2.000000,9.000000,7.640000,2.543698,49.000000,0.000000,50,0,66.469001
1619,1619,0,accepted,none,0.000000,1,5.400000,2.172556,1.000000,11.000000,6.480000,2.808843,49.000000,0.000000,50,0,66.791530
1616,1616,0,accepted,none,0.000000,1,6.080000,2.365079,1.000000,10.000000,7.440000,2.281754,49.000000,0.000000,50,0,73.040985
1624,1624,0,rejected,assert_connectivity,60.000000,1,5.760000,2.687452,1.000000,12.000000,6.600000,3.446738,41.640000,11.394314,0,0,63.491541
1620,1620,0,accepted,none,0.000000,1,5.640000,2.659022,1.000000,11.000000,7.480000,3.832701,49.000000,0.000000,50,0,69.263013
1625,1625,0,rejected,assert_connectivity,60.000000,1,5.160000,2.484834,1.000000,10.000000,5.640000,3.179686,45.160000,9.014122,0,0,71.418965
1621,1621,0,accepted,none,0.000000,1,7.200000,3.059412,3.000000,15.000000,6.920000,2.917807,49.000000,0.000000,50,0,60.976500
1622,1622,0,accepted,none,0.000000,1,5.680000,2.284207,1.000000,11.000000,6.040000,2.705254,49.000000,0.000000,50,0,61.068565
1627,1627,0,rejected,assert_connectivity,60.000000,1,5.560000,2.426190,1.000000,11.000000,7.400000,3.358571,43.360000,10.449421,0,0,71.390029
1629,1629,0,rejected,assert_connectivity,60.000000,1,5.480000,2.174764,1.000000,10.000000,5.800000,3.800000,35.560000,12.464606,0,0,59.338405
1628,1628,0,rejected,assert_connectivity,60.000000,1,6.200000,2.925748,0.000000,12.000000,8.080000,3.887621,45.120000,9.210081,0,0,66.971571
1633,1633,0,rejected,assert_connectivity,60.000000,1,7.320000,4.183013,0.000000,15.000000,10.800000,5.817216,41.440000,12.073376,0,0,60.242966
1635,1635,0,rejected,too_close,60.000000,1,5.480000,2.247132,1.000000,10.000000,6.640000,2.725876,49.000000,0.000000,50,0,64.513398
1636,1636,0,rejected,assert_connectivity,60.000000,1,6.800000,3.411744,1.000000,14.000000,7.080000,2.480645,26.560000,7.579340,0,0,69.642738
1623,1623,0,accepted,none,0.000000,1,5.840000,2.194174,1.000000,10.000000,7.600000,3.352611,49.000000,0.000000,50,0,76.018765
