run_id,scenario,window_start,window_end,throughput_mbps,pdr_percent,avg_delay_s,tx_packets,rx_packets,rx_bytes,udp_rx_in_window,udp_expected_in_window,udp_loss_percent,overhead_ratio,hello_count,olsr_control_bytes_with_hello,path_hops_internal,min_attacker_trust,avg_attacker_trust,blacklist_max_size,mac_tx_in_window,mac_drop_in_window,mac_tx_total,mac_drop_total
2429,defense_only,320.000000,360.000000,0.001944,100.000000,0.014913,18,18,9720,18,18,0.000000,23.027160,1000,223824,7,1.000000,1.000000,0,1600,0,13641,0
2429,defense_vs_attack,420.000000,460.000000,0.000000,0.000000,0.000000,0,0,0,0,18,100.000000,0.000000,1000,212036,0,1.000000,1.000000,0,1470,0,17365,0
2428,baseline,120.000000,160.000000,0.001944,100.000000,0.015257,18,18,9720,18,18,0.000000,25.195062,1000,244896,3,1.000000,1.000000,0,1635,0,6208,0
2428,attack_only,220.000000,260.000000,0.001944,100.000000,0.005826,18,18,9720,18,18,0.000000,24.644033,1000,239540,3,1.000000,1.000000,0,1690,0,10285,0
2428,defense_only,320.000000,360.000000,0.001944,100.000000,0.013171,18,18,9720,18,18,0.000000,25.357202,1000,246472,3,1.000000,1.000000,0,1639,0,14325,0
2428,defense_vs_attack,420.000000,460.000000,0.001944,100.000000,0.007066,18,18,9720,18,18,0.000000,23.948560,1000,232780,3,1.000000,1.000000,0,1668,0,18371,0
2430,baseline,120.000000,160.000000,0.001944,100.000000,0.031262,18,18,9720,18,18,0.000000,29.204115,1000,283864,6,1.000000,1.000000,0,1691,0,6349,0
2430,attack_only,220.000000,260.000000,0.000000,0.000000,0.000000,18,0,0,0,18,100.000000,0.000000,1000,281904,6,1.000000,1.000000,0,1610,0,10329,0
2430,defense_only,320.000000,360.000000,0.001944,100.000000,0.016567,18,18,9720,18,18,0.000000,29.403292,1000,285800,6,1.000000,1.000000,0,1693,0,14440,0
2430,defense_vs_attack,420.000000,460.000000,0.000432,26.666667,0.035939,15,4,2160,4,18,77.777778,130.979630,1000,282916,6,1.000000,1.000000,0,1641,0,18427,0
2435,baseline,120.000000,160.000000,0.001944,100.000000,0.021100,18,18,9720,18,18,0.000000,25.314815,1000,246060,4,1.000000,1.000000,0,1807,0,6761,0
